"month,time_class,games,wins,win_rate,avg_rating,avg_opp_rating"
"2025-01,Rapid,121,52,43.0,207.0,205.86776859504133"
"2025-02,Rapid,5,2,40.0,207.0,225.0"
"2025-03,Rapid,9,3,33.3,189.0,195.22222222222223"
"2025-04,Rapid,25,6,24.0,145.0,151.92"
"2025-05,Rapid,98,48,49.0,155.0,153.59183673469389"
"2025-06,Rapid,18,6,33.3,181.0,177.44444444444446"
"2025-07,Rapid,21,8,38.1,167.0,171.8095238095238"
"2025-08,Rapid,3,1,33.3,137.0,133.66666666666666"
"2025-10,Rapid,4,2,50.0,146.0,137.0"
"2025-11,Rapid,12,8,66.7,179.0,174.16666666666666"
"2025-12,Rapid,1,0,0.0,217.0,234.0"
"2026-01,Rapid,1,0,0.0,204.0,229.0"
