"opening,eco,my_color,total_games,wins,losses,draws,win_rate,avg_opponent_rating"
"Unknown,A00,Black,29,13,14,2,44.8,184.0"
"Unknown,A00,White,142,63,62,17,44.4,180.0"
"Unknown,A04,White,9,2,5,2,22.2,175.0"
"Unknown,A05,Black,5,2,2,1,40.0,169.0"
"Unknown,A06,White,6,0,5,1,0.0,176.0"
"Unknown,A40,Black,8,4,2,2,50.0,204.0"
"Unknown,A45,Black,23,9,10,4,39.1,180.0"
"Unknown,A46,Black,6,2,3,1,33.3,151.0"
"Unknown,B00,Black,42,17,22,3,40.5,187.0"
"Unknown,B02,Black,35,18,12,5,51.4,167.0"
"Unknown,C00,Black,5,2,2,1,40.0,189.0"
